     i,          n,    7,    5,    3,    2
------, ----------, ----, ----, ----, ----
     0,          1,    0,    0,    0,    0
     1,          2,    0,    0,    0,    1
     2,          3,    0,    0,    1,    0
     3,          4,    0,    0,    0,    2
     4,          5,    0,    1,    0,    0
     5,          6,    0,    0,    1,    1
     6,          7,    1,    0,    0,    0
     7,          8,    0,    0,    0,    3
     8,          9,    0,    0,    2,    0
     9,         10,    0,    1,    0,    1
    10,         12,    0,    0,    1,    2
    11,         14,    1,    0,    0,    1
    12,         15,    0,    1,    1,    0
    13,         16,    0,    0,    0,    4
    14,         18,    0,    0,    2,    1
    15,         20,    0,    1,    0,    2
    16,         21,    1,    0,    1,    0
    17,         24,    0,    0,    1,    3
    18,         25,    0,    2,    0,    0
    19,         27,    0,    0,    3,    0
    20,         28,    1,    0,    0,    2
    21,         30,    0,    1,    1,    1
    22,         32,    0,    0,    0,    5
    23,         35,    1,    1,    0,    0
    24,         36,    0,    0,    2,    2
    25,         40,    0,    1,    0,    3
    26,         42,    1,    0,    1,    1
    27,         45,    0,    1,    2,    0
    28,         48,    0,    0,    1,    4
    29,         49,    2,    0,    0,    0
    30,         50,    0,    2,    0,    1
    31,         54,    0,    0,    3,    1
    32,         56,    1,    0,    0,    3
    33,         60,    0,    1,    1,    2
    34,         63,    1,    0,    2,    0
    35,         64,    0,    0,    0,    6
    36,         70,    1,    1,    0,    1
    37,         72,    0,    0,    2,    3
    38,         75,    0,    2,    1,    0
    39,         80,    0,    1,    0,    4
    40,         81,    0,    0,    4,    0
    41,         84,    1,    0,    1,    2
    42,         90,    0,    1,    2,    1
    43,         96,    0,    0,    1,    5
    44,         98,    2,    0,    0,    1
    45,        100,    0,    2,    0,    2
    46,        105,    1,    1,    1,    0
    47,        108,    0,    0,    3,    2
    48,        112,    1,    0,    0,    4
    49,        120,    0,    1,    1,    3
    50,        125,    0,    3,    0,    0
    51,        126,    1,    0,    2,    1
    52,        128,    0,    0,    0,    7
    53,        135,    0,    1,    3,    0
    54,        140,    1,    1,    0,    2
    55,        144,    0,    0,    2,    4
    56,        147,    2,    0,    1,    0
    57,        150,    0,    2,    1,    1
    58,        160,    0,    1,    0,    5
    59,        162,    0,    0,    4,    1
    60,        168,    1,    0,    1,    3
    61,        175,    1,    2,    0,    0
    62,        180,    0,    1,    2,    2
    63,        189,    1,    0,    3,    0
    64,        192,    0,    0,    1,    6
    65,        196,    2,    0,    0,    2
    66,        200,    0,    2,    0,    3
    67,        210,    1,    1,    1,    1
    68,        216,    0,    0,    3,    3
    69,        224,    1,    0,    0,    5
    70,        225,    0,    2,    2,    0
    71,        240,    0,    1,    1,    4
    72,        243,    0,    0,    5,    0
    73,        245,    2,    1,    0,    0
    74,        250,    0,    3,    0,    1
    75,        252,    1,    0,    2,    2
    76,        256,    0,    0,    0,    8
    77,        270,    0,    1,    3,    1
    78,        280,    1,    1,    0,    3
    79,        288,    0,    0,    2,    5
    80,        294,    2,    0,    1,    1
    81,        300,    0,    2,    1,    2
    82,        315,    1,    1,    2,    0
    83,        320,    0,    1,    0,    6
    84,        324,    0,    0,    4,    2
    85,        336,    1,    0,    1,    4
    86,        343,    3,    0,    0,    0
    87,        350,    1,    2,    0,    1
    88,        360,    0,    1,    2,    3
    89,        375,    0,    3,    1,    0
    90,        378,    1,    0,    3,    1
    91,        384,    0,    0,    1,    7
    92,        392,    2,    0,    0,    3
    93,        400,    0,    2,    0,    4
    94,        405,    0,    1,    4,    0
    95,        420,    1,    1,    1,    2
    96,        432,    0,    0,    3,    4
    97,        441,    2,    0,    2,    0
    98,        448,    1,    0,    0,    6
    99,        450,    0,    2,    2,    1
   100,        480,    0,    1,    1,    5
   101,        486,    0,    0,    5,    1
   102,        490,    2,    1,    0,    1
   103,        500,    0,    3,    0,    2
   104,        504,    1,    0,    2,    3
   105,        512,    0,    0,    0,    9
   106,        525,    1,    2,    1,    0
   107,        540,    0,    1,    3,    2
   108,        560,    1,    1,    0,    4
   109,        567,    1,    0,    4,    0
   110,        576,    0,    0,    2,    6
   111,        588,    2,    0,    1,    2
   112,        600,    0,    2,    1,    3
   113,        625,    0,    4,    0,    0
   114,        630,    1,    1,    2,    1
   115,        640,    0,    1,    0,    7
   116,        648,    0,    0,    4,    3
   117,        672,    1,    0,    1,    5
   118,        675,    0,    2,    3,    0
   119,        686,    3,    0,    0,    1
   120,        700,    1,    2,    0,    2
   121,        720,    0,    1,    2,    4
   122,        729,    0,    0,    6,    0
   123,        735,    2,    1,    1,    0
   124,        750,    0,    3,    1,    1
   125,        756,    1,    0,    3,    2
   126,        768,    0,    0,    1,    8
   127,        784,    2,    0,    0,    4
   128,        800,    0,    2,    0,    5
   129,        810,    0,    1,    4,    1
   130,        840,    1,    1,    1,    3
   131,        864,    0,    0,    3,    5
   132,        875,    1,    3,    0,    0
   133,        882,    2,    0,    2,    1
   134,        896,    1,    0,    0,    7
   135,        900,    0,    2,    2,    2
   136,        945,    1,    1,    3,    0
   137,        960,    0,    1,    1,    6
   138,        972,    0,    0,    5,    2
   139,        980,    2,    1,    0,    2
   140,       1000,    0,    3,    0,    3
   141,       1008,    1,    0,    2,    4
   142,       1024,    0,    0,    0,   10
   143,       1029,    3,    0,    1,    0
   144,       1050,    1,    2,    1,    1
   145,       1080,    0,    1,    3,    3
   146,       1120,    1,    1,    0,    5
   147,       1125,    0,    3,    2,    0
   148,       1134,    1,    0,    4,    1
   149,       1152,    0,    0,    2,    7
   150,       1176,    2,    0,    1,    3
   151,       1200,    0,    2,    1,    4
   152,       1215,    0,    1,    5,    0
   153,       1225,    2,    2,    0,    0
   154,       1250,    0,    4,    0,    1
   155,       1260,    1,    1,    2,    2
   156,       1280,    0,    1,    0,    8
   157,       1296,    0,    0,    4,    4
   158,       1323,    2,    0,    3,    0
   159,       1344,    1,    0,    1,    6
   160,       1350,    0,    2,    3,    1
   161,       1372,    3,    0,    0,    2
   162,       1400,    1,    2,    0,    3
   163,       1440,    0,    1,    2,    5
   164,       1458,    0,    0,    6,    1
   165,       1470,    2,    1,    1,    1
   166,       1500,    0,    3,    1,    2
   167,       1512,    1,    0,    3,    3
   168,       1536,    0,    0,    1,    9
   169,       1568,    2,    0,    0,    5
   170,       1575,    1,    2,    2,    0
   171,       1600,    0,    2,    0,    6
   172,       1620,    0,    1,    4,    2
   173,       1680,    1,    1,    1,    4
   174,       1701,    1,    0,    5,    0
   175,       1715,    3,    1,    0,    0
   176,       1728,    0,    0,    3,    6
   177,       1750,    1,    3,    0,    1
   178,       1764,    2,    0,    2,    2
   179,       1792,    1,    0,    0,    8
   180,       1800,    0,    2,    2,    3
   181,       1875,    0,    4,    1,    0
